keyword,english_gloss,est_monthly_searches,popularity_0_100,relevance_0_10,intent,where_to_use,notes
productos digitales,digital products,12100,100,9,category,"hero, meta, platforms heading","Head term; large ES market incl. LatAm"
vender en etsy,sell on etsy,6600,55,7,informational,"future blog","Upstream of our audience"
vender productos digitales,sell digital products,4400,36,10,transactional,"meta keywords","Primary action term"
contenido digital,digital content,4400,36,5,category,none,"Broad, low commercial fit"
que son productos digitales,what are digital products,2900,24,5,informational,"future blog","Definition intent"
productos digitales para vender,digital products to sell,1900,16,8,informational,"future blog",
como vender productos digitales,how to sell digital products,1900,16,9,informational,"future blog","Strong blog candidate"
crear productos digitales,create digital products,1300,11,6,informational,"future blog",
productos digitales más vendidos,best-selling digital products,880,7,7,informational,"future blog",
descargas digitales,digital downloads,720,6,9,category,"meta, marquee",
plantillas canva para vender,canva templates to sell,720,6,8,transactional,"future blog","Template makers are a core persona"
archivos digitales,digital files,590,5,6,category,body,
ingresos pasivos productos digitales,passive income digital products,590,5,7,informational,"future blog",
vender plantillas,sell templates,480,4,8,transactional,"future blog",
alternativas a etsy,etsy alternatives,480,4,7,comparison,"future blog",
vender productos digitales en etsy,sell digital products on etsy,390,3,10,transactional,"future blog","Exact audience"
tienda de productos digitales,digital products store,390,3,9,transactional,"future blog",
shopify productos digitales,shopify digital products,320,3,9,transactional,platforms,
etsy descargas digitales,etsy digital downloads,260,2,10,transactional,"future blog",
vender presets,sell presets,210,2,8,transactional,"future blog",
vender en varias plataformas,sell on several platforms,140,1,9,tool,product,"Tiny volume, exact product fit"
vender fuentes tipográficas,sell fonts,90,1,7,transactional,"future blog",
