keyword,english_gloss,est_monthly_searches,popularity_0_100,relevance_0_10,intent,where_to_use,notes
vendre sur etsy,sell on etsy,3600,100,7,informational,"future blog","Upstream of our audience"
produits numériques,digital products,2900,81,9,category,"hero, title, meta, platforms heading, product intro, payoff","Head category term in French"
vendre des produits numériques,sell digital products,1900,53,10,transactional,"meta keywords","Primary action term"
produit digital,digital product (anglicism),1300,36,8,category,body,"Common anglicism; use sparingly"
contenu numérique,digital content,720,20,5,category,none,"Broad, low commercial fit"
alternative etsy,etsy alternative,590,16,7,comparison,"future blog",
créer des produits numériques,create digital products,480,13,6,informational,"future blog",
téléchargements numériques,digital downloads,480,13,9,category,"meta, marquee",
téléchargement numérique etsy,etsy digital download,320,9,10,transactional,"future blog","Exact audience"
revenus passifs produits numériques,passive income digital products,320,9,7,informational,"future blog",
produits numériques à vendre,digital products to sell,260,7,8,informational,"future blog",
idées de produits numériques,digital product ideas,260,7,7,informational,"future blog",
vendre produits numériques etsy,sell digital products etsy,210,6,10,informational,"future blog",
vendre des templates,sell templates,170,5,8,transactional,"future blog","Anglicism is the common usage"
boutique en ligne produits numériques,online shop digital products,170,5,9,transactional,"future blog",
shopify produits numériques,shopify digital products,170,5,9,transactional,platforms,
vendre des fichiers numériques,sell digital files,140,4,9,transactional,body,
vendre sur plusieurs plateformes,sell on multiple platforms,110,3,9,tool,product,"Tiny volume, exact product fit"
vendre des presets lightroom,sell lightroom presets,90,3,8,transactional,"future blog",
vendre des polices,sell fonts,70,2,7,transactional,"future blog",
