keyword,english_gloss,est_monthly_searches,popularity_0_100,relevance_0_10,intent,where_to_use,notes
produtos digitais,digital products,14800,100,9,category,"hero, meta, platforms heading","Head term; BR market is very large"
infoprodutos,info products,8100,55,6,category,none,"Huge BR term but skews to courses/ebooks; do not anchor"
como vender produtos digitais,how to sell digital products,3600,24,9,informational,"future blog","Strong blog candidate"
conteúdo digital,digital content,2900,20,5,category,none,"Broad, low commercial fit"
etsy brasil,etsy brazil,2400,16,6,informational,"future blog","Navigational; growing BR seller base"
o que são produtos digitais,what are digital products,1900,13,5,informational,"future blog","Definition intent"
vender na etsy,sell on etsy,1900,13,8,informational,"future blog","Upstream of our audience"
produtos digitais para vender,digital products to sell,1300,9,8,informational,"future blog",
criar produtos digitais,create digital products,1000,7,6,informational,"future blog",
produtos digitais mais vendidos,best-selling digital products,720,5,7,informational,"future blog",
loja de produtos digitais,digital products store,590,4,9,transactional,"future blog",
renda passiva produtos digitais,passive income digital products,480,3,7,informational,"future blog",
arquivos digitais,digital files,480,3,6,category,body,
vender planilhas,sell spreadsheets/templates,390,3,8,transactional,"future blog","Sheets/planner niche is big in BR"
downloads digitais,digital downloads,320,2,9,category,"meta, marquee",
vender templates,sell templates,260,2,8,transactional,"future blog",
vender produtos digitais na etsy,sell digital products on etsy,210,1,10,transactional,"future blog","Exact audience"
shopify produtos digitais,shopify digital products,170,1,9,transactional,platforms,
vender presets lightroom,sell lightroom presets,140,1,8,transactional,"future blog",
vender em várias plataformas,sell on multiple platforms,110,1,9,tool,product,"Tiny volume, exact product fit"
