keyword,english_gloss,est_monthly_searches,popularity_0_100,relevance_0_10,intent,where_to_use,notes
digital products,-,33100,100,9,category,"hero, meta, platforms heading","Head term; anchor the page on it"
digital downloads,-,27100,82,9,category,"meta, marquee","Core Etsy-culture term; used by buyers and sellers"
etsy digital downloads,-,14800,45,10,transactional,"meta, future blog","Exact audience: Etsy plus digital"
digital content,-,12100,37,5,category,none,"Huge but low commercial fit (media/streaming skew)"
digital products to sell,-,8100,24,8,informational,"future blog","Idea-hunting sellers; guide territory"
sell digital products,-,6600,20,10,transactional,"meta keywords","Primary action term"
how to sell digital products on etsy,-,4400,13,10,informational,"future blog","Perfect-fit long-tail; strongest blog candidate"
best digital products to sell,-,4400,13,7,informational,"future blog","Listicle intent"
how to sell printables on etsy,-,4400,13,8,informational,"future blog","Printables are the biggest Etsy digital niche"
selling digital products on etsy,-,3600,11,10,informational,"future blog","Variant of the head how-to"
sell digital products online,-,2900,9,9,transactional,"meta keywords",
shopify digital products,-,2900,9,9,transactional,platforms,"Second platform in our MVP pair"
digital files,-,2400,7,6,category,body,"How Etsy labels listings (digital file)"
digital goods,-,2400,7,7,category,body,"Synonym; keep as variation, not anchor"
sell digital downloads,-,1900,6,9,transactional,"meta keywords",
digital items,-,1900,6,6,category,body,"Etsy UI wording (digital item)"
passive income digital products,-,1900,6,7,informational,"future blog","Motivation angle; payoff section echoes it"
sell digital products on shopify,-,1900,6,9,transactional,"future blog",
gumroad alternatives,-,1900,6,7,comparison,"future blog","Creator-platform switchers"
crosslisting app,-,1900,6,8,tool,"future blog","Adjacent tool category; today it skews to physical resellers"
sell canva templates,-,1900,6,8,transactional,"future blog","Template makers are a core persona"
where to sell digital products,-,1900,6,9,informational,platforms,"The Platforms section answers this literally"
etsy to shopify,-,1300,4,10,tool,"meta, roadmap","Our MVP sync pair, verbatim"
cross listing tool,-,1300,4,8,tool,"future blog",
multichannel selling,-,1000,3,8,category,"meta keywords","Industry term for what we do"
etsy seller tools,-,1000,3,8,tool,"future blog",
sell notion templates,-,880,3,8,transactional,"future blog",
sell lightroom presets,-,720,2,8,transactional,"future blog","Preset sellers are a core persona"
sell templates online,-,720,2,8,transactional,"future blog",
etsy alternatives for digital downloads,-,720,2,9,comparison,"future blog","Exactly our expansion pitch"
sell procreate brushes,-,590,2,8,transactional,"future blog","Brush sellers are a core persona"
sell fonts online,-,480,1,8,transactional,"future blog","Font sellers are a core persona"
sync products across platforms,-,390,1,10,tool,product,"Tiny volume, exact product description"
