keyword,english_gloss,est_monthly_searches,popularity_0_100,relevance_0_10,intent,where_to_use,notes
デジタルコンテンツ,digital content,8100,100,6,category,body,"Biggest volume but broad; media skew"
ダウンロード販売,download sales (selling files),1900,23,10,category,"hero, meta","THE established JP term for our niche; co-anchor"
デジタル商品,digital products/goods,1900,23,9,category,"hero, title, meta, platforms heading, product intro, payoff","Head category term"
越境EC,cross-border e-commerce,1300,16,7,category,"future blog","JP sellers going global is exactly our pitch"
デジタルコンテンツ 販売,sell digital content,1000,12,9,transactional,"meta keywords",
etsy 販売,selling on etsy,720,9,8,informational,"future blog","Upstream of our audience"
デジタル商品 販売,sell digital goods,590,7,10,transactional,"meta keywords","Primary action term"
素材 販売,sell (creative) assets,590,7,8,transactional,"future blog","Asset-store culture (BOOTH etc.)"
ダウンロード販売 サイト,download-sales platforms,480,6,9,comparison,platforms,"The Platforms section answers this"
etsy 使い方,how to use etsy,480,6,6,informational,"future blog",
デジタルデータ 販売,sell digital data/files,390,5,9,transactional,body,
テンプレート 販売,sell templates,320,4,8,transactional,"future blog",
副業 デジタルコンテンツ,side income digital content,260,3,7,informational,"future blog","Side-job culture is a strong JP angle"
etsy デジタル,etsy digital,210,3,10,transactional,"future blog","Exact audience"
フォント 販売,sell fonts,170,2,7,transactional,"future blog",
プリンタブル,printables,170,2,7,category,"future blog","Niche loanword"
ブラシ 販売 procreate,sell procreate brushes,110,1,8,transactional,"future blog",
複数プラットフォーム 販売,multi-platform selling,90,1,9,tool,product,"Tiny volume, exact product fit"
