keyword,english_gloss,est_monthly_searches,popularity_0_100,relevance_0_10,intent,where_to_use,notes
digitale produkte,digital products,6600,100,9,category,"hero, meta, platforms heading","Head term in German"
digitale produkte verkaufen,sell digital products,2900,44,10,transactional,"meta keywords","Primary action term"
etsy alternative,etsy alternative,2400,36,7,comparison,"future blog","Broad but on-pitch"
etsy shop eröffnen,open an etsy shop,1900,29,6,informational,"future blog","Upstream of our audience"
digitale produkte erstellen,create digital products,1300,20,6,informational,"future blog","Creation intent, pre-selling"
digitale downloads,digital downloads,1000,15,9,category,"meta, marquee",
etsy digitale produkte,etsy digital products,720,11,10,transactional,"future blog","Exact audience"
was sind digitale produkte,what are digital products,590,9,5,informational,"future blog","Definition intent"
passives einkommen digitale produkte,passive income digital products,590,9,7,informational,"future blog",
digitale produkte verkaufen etsy,sell digital products etsy,480,7,10,informational,"future blog",
digitale produkte ideen,digital product ideas,480,7,7,informational,"future blog",
shopify digitale produkte,shopify digital products,390,6,9,transactional,platforms,
digitale güter,digital goods,320,5,6,category,body,"Formal variant; do not anchor"
canva vorlagen verkaufen,sell canva templates,320,5,8,transactional,"future blog",
online shop für digitale produkte,online shop for digital products,320,5,9,transactional,"future blog",
printables verkaufen,sell printables,260,4,8,transactional,"future blog","Anglicism is the common usage"
vorlagen verkaufen,sell templates,210,3,8,transactional,"future blog",
digitale artikel,digital items,170,3,6,category,body,
presets verkaufen,sell presets,170,3,8,transactional,"future blog",
downloadprodukte,download products,140,2,7,category,body,"Shop-system jargon; niche but precise"
schriftarten verkaufen,sell fonts,110,2,7,transactional,"future blog",
mehrere verkaufsplattformen,multiple sales platforms,90,1,8,tool,product,"Tiny volume, exact product fit"
